timestamp,category,search,brand,model,size,opportunity_score,title,listing_price,total_buy_est,resale_low,resale_high,margin_low,margin_high,roi_low,reason,url,item_id
2026-09-01T05:26:04,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,9,Pantalla inferior Nintendo 3DS XL | Vinted,30.0,36.7,160.0,220.0,123.3,183.3,336.0,prix a environ 19% de la reference prudente,https://www.vinted.be/items/9843251901-pantalla-inferior-nintendo-3ds-xl,9843251901
2026-09-01T05:27:37,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,Nintendo 3DS XL Verpackung OVP Neuwertig ⭐ | Vinted,15.0,20.95,160.0,220.0,139.05,199.05,663.7,"prix a environ 9% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9838205820-nintendo-3ds-xl-verpackung-ovp-neuwertig,9838205820
2026-09-01T05:29:10,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,scocca nintendo 3ds xl rossa | Vinted,9.9,15.6,160.0,220.0,144.41,204.41,926.0,"prix a environ 6% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9820765916-scocca-nintendo-3ds-xl-rossa,9820765916
2026-09-01T05:30:44,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,Baterías Nintendo 3DS + 3DS XL | Vinted,15.0,20.95,160.0,220.0,139.05,199.05,663.7,"prix a environ 9% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9847772693-baterias-nintendo-3ds-3ds-xl,9847772693
2026-09-01T05:33:49,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,Batteria Nintendo 3DS XL | Vinted,9.99,15.69,160.0,220.0,144.31,204.31,919.8,"prix a environ 6% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9842732040-batteria-nintendo-3ds-xl,9842732040
2026-09-01T05:35:22,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,Scocca nintendo 3ds xl bianca | Vinted,9.9,15.6,160.0,220.0,144.41,204.41,926.0,"prix a environ 6% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9820786065-scocca-nintendo-3ds-xl-bianca,9820786065
2026-09-01T05:36:56,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,Sacoche Yo-Kai Watch pour New Nintendo 3DS XL | Vinted,20.0,26.2,160.0,220.0,133.8,193.8,510.7,"prix a environ 12% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9841317936-sacoche-yo-kai-watch-pour-new-nintendo-3ds-xl,9841317936
2026-09-01T07:02:36,JEU_SWITCH,JEU_SWITCH - Smash Ultimate / Super Smash Bros Ultimate,Nintendo,Smash Ultimate,?,7,Pin Super Smash Bros Ultimate | Nintendo Switch | Merch oficial | Coleccionista | Vinted,9.0,14.65,36.0,42.0,21.35,27.35,145.7,prix a environ 25% de la reference prudente,https://www.vinted.be/items/9828099630-pin-super-smash-bros-ultimate-nintendo-switch-merch-oficial-coleccionista,9828099630
2026-09-01T07:04:13,JEU_SWITCH,JEU_SWITCH - Fire Emblem Three Houses / Fire Emblem Three Houses,Nintendo,Fire Emblem Three Houses,L,10,Fire Emblem Three Houses coin Collector Rare Nintendo Switch | Vinted,3.0,8.35,50.0,65.0,41.65,56.65,498.8,"prix a environ 6% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9744707344-fire-emblem-three-houses-coin-collector-rare-nintendo-switch,9744707344
2026-09-01T07:05:46,JEU_SWITCH,JEU_SWITCH - Fire Emblem Three Houses / Fire Emblem Three Houses,Nintendo,Fire Emblem Three Houses,40,10,Fire Emblem Three Houses keychain Nintendo Switch ref8869502 | Vinted,5.95,11.45,50.0,65.0,38.55,53.55,336.8,"prix a environ 12% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9654036763-fire-emblem-three-houses-keychain-nintendo-switch-ref8869502,9654036763
2026-09-01T07:09:05,JEU_VITA,JEU_VITA - Persona 4 Golden / Persona 4 Golden Vita,Atlus,Persona 4 Golden,?,6,Persona 4 The Golden Jeu PS Vita Import Japonais ref JV16329 | Vinted,13.9,19.8,50.0,70.0,30.2,50.2,152.6,prix a environ 28% de la reference prudente,https://www.vinted.be/items/9793422778-persona-4-the-golden-jeu-ps-vita-import-japonais-ref-jv16329,9793422778
2026-09-01T07:10:38,JEU_VITA,JEU_VITA - Persona 4 Golden / Persona 4 Golden Vita,Atlus,Persona 4 Golden,?,7,P4G Persona 4 The Golden Jeu PSVita Version Japonaise Complet | Vinted,12.0,17.8,50.0,70.0,32.2,52.2,180.9,prix a environ 24% de la reference prudente,https://www.vinted.be/items/8191099460-p4g-persona-4-the-golden-jeu-psvita-version-japonaise-complet,8191099460
2026-09-01T07:12:11,JEU_VITA,JEU_VITA - Persona 4 Golden / Persona 4 Golden Vita,Atlus,Persona 4 Golden,?,6,P4G Persona 4 The Golden Jeu PSVita Version Japonaise Complet | Vinted,15.0,20.95,50.0,70.0,29.05,49.05,138.7,prix a environ 30% de la reference prudente,https://www.vinted.be/items/9732221824-p4g-persona-4-the-golden-jeu-psvita-version-japonaise-complet,9732221824
2026-09-01T07:58:39,CONSOLE,CONSOLE - Xbox Series S / Xbox Series S,Microsoft,Xbox Series S,S,10,Xbox Series S 512 GB come nuova | Vinted,1.0,6.25,175.0,205.0,168.75,198.75,2700.0,"prix a environ 1% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9850251963-xbox-series-s-512-gb-come-nuova,9850251963
2026-09-01T08:00:32,JEU_SWITCH,JEU_SWITCH - Smash Ultimate / Super Smash Bros Ultimate,Nintendo,Smash Ultimate,?,6,Steelbook Super Smash Bros Ultimate Switch | Vinted,9.99,15.69,36.0,42.0,20.31,26.31,129.5,prix a environ 28% de la reference prudente,https://www.vinted.be/items/7986983106-steelbook-super-smash-bros-ultimate-switch,7986983106
2026-09-01T08:02:15,JEU_SWITCH,JEU_SWITCH - Xenoblade Chronicles 2 / Xenoblade Chronicles 2,Nintendo,Xenoblade Chronicles 2,?,8,jeu vidéo wii u xenoblade chronicles x #1422 | Vinted,11.5,17.27,60.0,80.0,42.73,62.73,247.3,prix a environ 19% de la reference prudente,https://www.vinted.be/items/9786686020-jeu-video-wii-u-xenoblade-chronicles-x-1422,9786686020
2026-09-01T08:03:56,JEU_VITA,JEU_VITA - Persona 4 Golden / Persona 4 Golden Vita,Atlus,Persona 4 Golden,?,7,Persona 4 The Golden PSVita jap | Vinted,12.0,17.8,50.0,70.0,32.2,52.2,180.9,prix a environ 24% de la reference prudente,https://www.vinted.be/items/9659693015-persona-4-the-golden-psvita-jap,9659693015
2026-09-01T08:05:37,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,Caricatore compatibile con Nintendo 3ds/3ds xI/2ds/2ds xl e dsi | Vinted,4.99,10.44,160.0,220.0,149.56,209.56,1432.6,"prix a environ 3% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9850573049-caricatore-compatibile-con-nintendo-3ds3ds-xi2ds2ds-xl-e-dsi,9850573049
2026-09-01T08:08:48,CONSOLE,CONSOLE - New Nintendo 3DS XL / New Nintendo 3DS XL,Nintendo,New 3DS XL,XL,10,Project rub new Nintendo 2ds xl new Nintendo 3ds XL | Vinted,23.0,29.35,220.0,300.0,190.65,270.65,649.6,"prix a environ 10% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/4494858191-project-rub-new-nintendo-2ds-xl-new-nintendo-3ds-xl,4494858191
2026-09-01T13:14:12,JEU_SWITCH,JEU_SWITCH - Zelda TOTK / Zelda Tears of the Kingdom,Nintendo,Zelda TOTK,L,7,Pièce de collection Zelda – Nintendo Switch – Tears of the Kingdom | Vinted,8.0,13.6,38.0,45.0,24.4,31.4,179.4,prix a environ 21% de la reference prudente,https://www.vinted.be/items/9818550977-piece-de-collection-zelda-nintendo-switch-tears-of-the-kingdom,9818550977
2026-09-01T13:17:39,JEU_VITA,JEU_VITA - Persona 4 Golden / Persona 4 Golden Vita,Atlus,Persona 4 Golden,?,7,🇯🇵 Persona 4 Golden JAP psvita | Vinted,12.5,18.32,50.0,70.0,31.68,51.67,172.9,prix a environ 25% de la reference prudente,https://www.vinted.be/items/9805830989-persona-4-golden-jap-psvita,9805830989
2026-09-01T13:19:20,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,Fossil Fighters: Frontier per Nintendo 3DS / 2DS / 2DS XL – Come nuovo! | Vinted,12.0,17.8,160.0,220.0,142.2,202.2,798.9,"prix a environ 8% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9852457991-fossil-fighters-frontier-per-nintendo-3ds-2ds-2ds-xl-come-nuovo,9852457991
2026-09-01T13:20:53,CONSOLE,CONSOLE - Nintendo 3DS XL / Nintendo 3DS XL,Nintendo,3DS XL,XL,10,New Super Mario Bros. 2 per Nintendo 3DS / 2DS / 2DS XL – Imperdibile e come nuovo! | Vinted,12.0,17.8,160.0,220.0,142.2,202.2,798.9,"prix a environ 8% de la reference prudente; prix extrêmement bas, verifier vendeur et authenticite",https://www.vinted.be/items/9851966268-new-super-mario-bros-2-per-nintendo-3ds-2ds-2ds-xl-imperdibile-e-come-nuovo,9851966268
